2019-12-07,00:00:00,KFM_001,6970631404290470,MA304H3E,3414,0,0,35,4576,11866,9435,2453,0,2436,31226047,0,1829439,248682
2019-12-07,00:00:10,KFM_001,6970631404290470,MA304H3E,3408,0,0,35,4575,11854,9424,2453,0,2433,31229646,0,1829594,248687
2019-12-07,00:00:20,KFM_001,6970631404290470,MA304H3E,3411,0,0,35,4571,11861,9433,2451,0,2436,31229646,0,1829594,248687
2019-12-07,00:00:30,KFM_001,6970631404290470,MA304H3E,3407,0,0,35,4570,11857,9429,2450,0,2434,31229646,0,1829594,248687
2019-12-07,00:00:40,KFM_001,6970631404290470,MA304H3E,3404,0,0,35,4568,11850,9421,2450,0,2433,31229646,0,1829594,248687
2019-12-07,00:00:50,KFM_001,6970631404290470,MA304H3E,3407,0,0,35,4572,11855,9425,2451,0,2434,31229646,0,1829594,248687
2019-12-07,00:01:00,KFM_001,6970631404290470,MA304H3E,3398,0,0,35,4563,11844,9416,2446,0,2431,31229646,0,1829594,248687
2019-12-07,00:01:10,KFM_001,6970631404290470,MA304H3E,3398,0,0,35,4563,11838,9416,2447,0,2431,31229646,0,1829594,248687
2019-12-07,00:01:20,KFM_001,6970631404290470,MA304H3E,3398,0,0,35,4564,11838,9415,2447,0,2431,31229646,0,1829594,248687
2019-12-07,00:01:30,KFM_001,6970631404290470,MA304H3E,3407,0,0,34,4569,11853,9426,2451,0,2434,31229646,0,1829594,248687
2019-12-07,00:01:40,KFM_001,6970631404290470,MA304H3E,3402,0,0,35,4563,11840,9422,2447,0,2433,31229646,0,1829594,248687
2019-12-07,00:01:50,KFM_001,6970631404290470,MA304H3E,3401,0,0,35,4562,11842,9419,2448,0,2432,31229646,0,1829594,248687
2019-12-07,00:02:00,KFM_001,6970631404290470,MA304H3E,3401,0,0,35,4565,11843,9419,2448,0,2432,31229646,0,1829594,248687
2019-12-07,00:02:10,KFM_001,6970631404290470,MA304H3E,3400,0,0,35,4564,11840,9416,2448,0,2431,31229646,0,1829594,248687
2019-12-07,00:02:20,KFM_001,6970631404290470,MA304H3E,3404,0,0,35,4563,11848,9425,2448,0,2434,31229646,0,1829594,248687
2019-12-07,00:02:30,KFM_001,6970631404290470,MA304H3E,3402,0,0,35,4563,11846,9422,2448,0,2433,31229646,0,1829594,248687
2019-12-07,00:02:40,KFM_001,6970631404290470,MA304H3E,3405,0,0,35,4560,11866,9445,2446,0,2432,31229646,0,1829594,248687
2019-12-07,00:02:50,KFM_001,6970631404290470,MA304H3E,3458,0,64,0,4560,12188,9639,2447,0,2434,31229646,0,1829594,248687
2019-12-07,00:03:00,KFM_001,6970631404290470,MA304H3E,3455,0,62,0,4559,12180,9634,2446,0,2432,31229646,0,1829594,248687
2019-12-07,00:03:10,KFM_001,6970631404290470,MA304H3E,3452,0,60,0,4559,12173,9630,2446,0,2431,31229646,0,1829594,248687
2019-12-07,00:03:20,KFM_001,6970631404290470,MA304H3E,3451,0,58,0,4556,12169,9631,2444,0,2431,31229646,0,1829594,248687
2019-12-07,00:03:30,KFM_001,6970631404290470,MA304H3E,3462,0,54,0,4561,12200,9667,2448,0,2432,31229646,0,1829594,248687
2019-12-07,00:03:40,KFM_001,6970631404290470,MA304H3E,3507,0,47,0,4558,12386,9881,2446,0,2432,31229646,0,1829594,248687
2019-12-07,00:03:50,KFM_001,6970631404290470,MA304H3E,3512,0,46,0,4558,12371,9865,2446,0,2435,31229646,0,1829594,248687
2019-12-07,00:04:00,KFM_001,6970631404290470,MA304H3E,3524,0,45,0,4564,12403,9892,2450,0,2437,31229646,0,1829594,248687
2019-12-07,00:04:10,KFM_001,6970631404290470,MA304H3E,3467,0,0,37,4338,12449,9866,2452,0,2437,31229646,0,1829594,248687
2019-12-07,00:04:20,KFM_001,6970631404290470,MA304H3E,3458,0,0,38,4333,12432,9854,2449,0,2433,31229646,0,1829594,248687
2019-12-07,00:04:30,KFM_001,6970631404290470,MA304H3E,3465,0,0,38,4329,12458,9885,2447,0,2435,31229646,0,1829594,248687
2019-12-07,00:04:40,KFM_001,6970631404290470,MA304H3E,3477,0,0,39,4334,12493,9919,2450,0,2436,31229646,0,1829594,248687
2019-12-07,00:04:50,KFM_001,6970631404290470,MA304H3E,3465,0,0,39,4329,12474,9901,2447,0,2431,31229646,0,1829594,248687
2019-12-07,00:05:00,KFM_001,6970631404290470,MA304H3E,3465,0,0,40,4329,12472,9900,2447,0,2431,31229646,0,1829594,248687
2019-12-07,00:05:10,KFM_001,6970631404290470,MA304H3E,3465,0,0,40,4326,12473,9903,2445,0,2432,31229646,0,1829594,248687
2019-12-07,00:05:20,KFM_001,6970631404290470,MA304H3E,3456,0,0,39,4322,12461,9891,2443,0,2428,31229646,0,1829594,248687
2019-12-07,00:05:30,KFM_001,6970631404290470,MA304H3E,3456,0,0,39,4324,12460,9889,2444,0,2427,31229646,0,1829594,248687
2019-12-07,00:05:40,KFM_001,6970631404290470,MA304H3E,3462,0,0,39,4323,12472,9901,2444,0,2431,31229646,0,1829594,248687
2019-12-07,00:05:50,KFM_001,6970631404290470,MA304H3E,3468,0,0,43,4325,12492,9931,2444,0,2429,31229646,0,1829594,248687
2019-12-07,00:06:00,KFM_001,6970631404290470,MA304H3E,3532,0,0,44,4323,12751,10205,2443,0,2428,31229646,0,1829594,248687
2019-12-07,00:06:10,KFM_001,6970631404290470,MA304H3E,3533,0,0,44,4322,12752,10206,2443,0,2428,31229646,0,1829594,248687
2019-12-07,00:06:20,KFM_001,6970631404290470,MA304H3E,3528,0,0,44,4323,12745,10194,2443,0,2426,31229646,0,1829594,248687
2019-12-07,00:06:30,KFM_001,6970631404290470,MA304H3E,3522,0,0,45,4319,12736,10189,2441,0,2424,31229646,0,1829594,248687
